V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V25,V28,Amount
-0.465915941,0.089290364,-0.703451277,-0.116931278,-0.664649915,0.083024685,1.286548507,-0.067489981,0.388351568,1.011760995,0.060057954,-0.021279353,-0.155876766,0.413557621,-0.842608117,0.758270733,0.290815596,-0.062293388,0.242410017,0.781120736,0.021932126,-0.360785776,-0.172368983,0.123464303,-7.29E-05,-0.045313427,0.128539358,-0.021053053,69.95
-1.072234733,0.413118443,-0.12020897,-1.128266572,0.173855669,-0.308326095,0.54488668,0.063692761,-0.696699331,0.439684824,0.02505731,0.289284929,0.091914933,-0.161487101,-0.229498961,-0.953206526,0.072988783,-0.223500281,-0.28097716,-0.680860543,0.343267371,-0.013964535,-0.316371347,0.200685532,-0.068673712,-0.059763144,0.167170404,0.014724169,6.45
-0.331169506,-0.638808813,0.941669597,-0.497105335,0.862017656,0.05223603,-0.321748475,-0.674345771,1.172218055,0.646707052,-0.073718232,-0.813976539,-0.904789357,0.432509609,0.214226536,0.146599306,-0.056872528,0.01781817,-0.27686627,-0.673495783,0.100715395,0.602186859,-0.48202162,0.092262553,0.222652959,0.07474555,-0.327641834,-0.059751841,1.98
-1.435216019,-0.717534812,1.916006197,-0.77194241,1.725888684,-0.505267327,-0.590301791,-1.068685819,-1.080760857,0.26016024,1.36613367,-1.039128845,-0.34246953,-0.536272604,0.562743656,0.201190874,0.716458861,0.027240864,0.168256374,0.693719963,-0.387936764,0.044093769,-0.09057152,0.202738101,0.04553108,0.222023629,0.647376035,0.061457629,16.34
-0.19332064,0.498516234,-0.846430091,-0.526400945,-0.67319859,-0.030896879,1.274069943,0.002612136,-0.941594352,0.34693037,0.075848032,-0.243164826,0.400161545,0.25961197,-0.42061121,-0.089494555,-0.33923216,-0.207166844,0.165475626,0.711790914,0.174025752,0.043395385,-0.298080929,0.572008065,-0.015925414,-0.047699743,-0.206009588,0.215153147,7.69
-1.322462337,1.280567045,0.579396918,-0.113460342,0.205334965,-0.215610746,0.46619863,0.128550923,-1.223220359,1.044548118,1.348399749,-0.18535223,-0.80147635,-0.598918143,-0.336487531,-0.422286193,-0.168162418,-0.176267596,0.163188944,0.847364967,-0.059729774,0.481384465,0.538340321,-0.389568401,0.023429791,-0.048955867,-0.232793817,0.081080257,1
0.808576648,-0.11733423,0.186124438,-0.63173429,0.635586681,-1.102502342,-0.201780881,-0.851155179,-0.662239158,0.737968032,0.631019147,0.227421346,0.012834088,-0.614575702,-0.042734011,-0.714280988,0.48143635,-0.078240487,0.458172959,-1.113007664,-0.421639786,0.054660456,1.739393107,-0.224658786,0.054246692,0.1386378,0.750136936,0.005167769,44.09
-1.112988769,-2.088941044,1.524362003,-1.303248125,2.641954509,-1.474746277,2.639114511,4.679597099,1.177992164,-0.393504888,-1.283920258,-1.029378809,-0.417539451,-1.099431341,-1.444150313,-0.040679136,-0.064817492,1.894943049,-0.386551596,0.809316086,-0.379249703,-0.35363393,0.1338602,-0.026104613,0.657363986,-0.36057805,-0.415266566,-1.085339188,0.77
0.524628275,2.568805037,1.882073555,1.290010478,0.2776747,-0.467752983,-1.529641783,0.911081787,-0.749700927,-0.00773314,-0.135541757,0.037806991,-2.470799588,0.887864545,-1.071537266,0.344805778,-0.928454945,-0.411772672,0.867945483,0.120739486,-0.295519374,-0.219454037,0.23182896,0.086677259,0.113259084,0.014274769,0.37320468,0.14240433,4.05
0.081598814,-0.156341969,1.41445648,-0.910512703,0.832885661,-0.122344013,-0.285828832,-0.905312674,-0.682616549,-0.505490247,-0.51559167,-0.831575026,0.229659236,0.04267219,0.678712147,-0.119840529,0.42724547,-0.159599514,-0.302760443,-0.69960652,0.600787909,0.560816753,-0.335100392,0.228045178,0.052263716,0.113763374,-0.069733046,0.083075649,1.98
-1.540998209,-1.126409448,-0.205674151,-0.771669766,-0.348802492,-0.158016808,-0.85558489,1.042714074,1.111758118,-0.258729729,-0.681221941,0.495697099,-0.29587245,1.041172246,0.037857058,-1.253053067,0.895148391,-0.077813625,0.088508239,0.12617901,0.267082324,0.681016575,-0.117257764,-0.361106342,-0.056457452,-0.069023143,0.251367359,0.016253262,2.39
2.114154362,-2.205695218,-1.435333878,-0.047413106,-0.638677126,0.511392898,-0.502158808,-0.364190498,-1.018382906,-0.200030436,1.355899675,-1.021206545,-0.013677262,1.871065136,-0.201080301,-0.767727781,-0.448547313,0.101080981,0.44319051,1.208647103,-0.438970812,-0.014825843,0.545255679,-0.054460217,-0.038218623,0.060437742,-0.767314827,-0.054337388,80.75
-1.436000762,0.135415519,0.326469595,-0.547678063,0.103160501,-0.155402855,0.277684518,0.159919118,1.108680375,1.125742161,0.280510875,0.619456979,0.09836773,-0.072270569,-0.728647325,0.333988762,-0.013750536,-0.193352845,0.301663332,0.983379898,0.030053307,0.748518772,0.248263755,-0.159723436,-0.023254751,-0.0615008,0.161134554,0.042422089,1.29
-1.333554925,-0.563260046,-0.520263709,-0.670078965,-0.120039935,-0.085676247,1.053373586,-0.116363645,0.505355174,0.326504791,-1.293281192,0.620775281,-0.028797038,0.150078235,-0.475100567,0.211325216,0.617166736,0.058093113,0.112807938,0.078878442,0.020071359,-0.349883946,-0.310963799,0.837637419,-0.124225094,-0.057189871,0.548264725,0.021293311,159.31
-2.276676451,-0.896194089,2.135260196,3.337990271,-0.608074929,0.839416671,0.37753318,0.079821941,0.258686177,0.363388863,-0.031827436,0.540860776,1.273434202,0.362397008,-0.657133021,-0.924058587,-0.119716198,-0.027561683,-0.433244849,-1.484377354,0.55254662,0.652617164,-0.701606536,0.03654793,-0.057026849,-0.04665867,-0.232746324,-0.030153637,49.79
-0.441238872,0.094655987,-0.71772865,-0.074422545,-0.699808701,0.119229793,1.316140912,-0.067118264,0.454625711,0.929664356,-0.185219755,0.032727277,-0.088385572,0.347175305,-0.750866963,0.676478879,0.198792897,-0.094929569,0.24682519,0.799768135,0.043198777,-0.356284339,-0.201678405,0.126049508,0.002575093,-0.046567635,-0.039124354,0.129394059,65.21
-0.770625363,-0.326501831,-0.712464248,0.263378249,3.575008903,-1.255707283,-0.110707604,-0.204735817,1.574698633,0.034977938,-0.371318428,-1.448003238,-0.614245762,0.001308426,0.221963042,0.198916181,0.42893951,-0.123703184,-0.29564832,0.028162239,0.022683219,-0.028154155,-0.874492343,0.308927506,-0.415213983,-0.716877418,0.364297541,0.037050517,436.95
